dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandAverageTemperaturePlusUncertainty,LandAverageTemperatureMinusUncertainty
1753-03-01,5.424,2.929,8.353,2.4950000000000006
1753-04-01,8.272,3.177,11.449,5.095000000000001
1753-05-01,12.186,3.111,15.297,9.075
1753-06-01,14.585,2.59,17.175,11.995000000000001
1753-07-01,15.092,1.929,17.021,13.163
1753-08-01,14.148,2.4530000000000003,16.601,11.695
1753-09-01,13.322,2.5380000000000003,15.86,10.783999999999999
1753-10-01,8.962,2.585,11.547,6.377
1753-11-01,5.353,2.807,8.16,2.546
1753-12-01,0.5589999999999997,4.1739999999999995,4.732999999999999,-3.6149999999999998
1754-01-01,1.574,5.02,6.593999999999999,-3.4459999999999997
1754-02-01,-1.2489999999999997,7.492000000000001,6.243000000000001,-8.741
1754-03-01,3.677,3.3360000000000003,7.013,0.34099999999999975
1754-04-01,11.61,3.293,14.902999999999999,8.317
1754-05-01,11.936,3.937,15.873,7.9990000000000006
1754-06-01,14.388,3.366,17.754,11.022
1754-07-01,14.681,2.401,17.082,12.28
1754-08-01,13.556,1.892,15.447999999999999,11.664
1754-09-01,11.129,2.318,13.447,8.811
1754-10-01,9.582,2.529,12.111,7.053000000000001
1754-11-01,6.1610000000000005,3.048,9.209,3.1130000000000004
1754-12-01,4.587,3.299,7.885999999999999,1.2879999999999998
1755-01-01,1.067,4.6930000000000005,5.760000000000001,-3.6260000000000003
1755-02-01,-0.1080000000000001,5.857,5.7490000000000006,-5.965
1755-03-01,3.607,3.909,7.516,-0.3019999999999996
1755-04-01,9.263,3.372,12.635,5.891
1755-05-01,12.880999999999998,4.151,17.031999999999996,8.729999999999999
1755-06-01,15.38,5.322,20.702,10.058
1755-07-01,14.397,1.936,16.333,12.461
1755-08-01,13.515,2.381,15.896,11.134
1755-09-01,11.773,3.4160000000000004,15.189,8.357
1755-10-01,9.97,3.931,13.901,6.039000000000001
1755-11-01,5.957999999999998,4.021,9.979,1.9369999999999985
1755-12-01,2.564,3.215,5.779,-0.6509999999999998
1756-01-01,3.887,3.513,7.4,0.3740000000000001
1756-02-01,5.666,4.265,9.931000000000001,1.4010000000000007
1756-03-01,4.192,5.574,9.766,-1.3819999999999997
1756-04-01,10.042,3.752,13.794,6.29
1756-05-01,14.163999999999998,2.608,16.772,11.555999999999997
1756-06-01,14.547,3.213,17.76,11.334
1756-07-01,13.906,2.1919999999999997,16.098,11.714
1756-08-01,13.437,2.175,15.611999999999998,11.262
1756-09-01,12.652,2.9539999999999997,15.605999999999998,9.698
1756-10-01,7.3119999999999985,2.201,9.512999999999998,5.110999999999999
1756-11-01,4.225,2.86,7.084999999999999,1.3649999999999998
1756-12-01,2.165,3.841,6.006,-1.6760000000000002
1757-01-01,-0.27600000000000025,4.022,3.746,-4.298
1757-02-01,3.7039999999999997,4.261,7.965,-0.5570000000000004
1757-03-01,4.529,3.638,8.167,0.891
1757-04-01,8.245999999999999,4.303999999999999,12.549999999999997,3.9419999999999993
1757-05-01,13.039,4.98,18.019,8.059
1757-06-01,17.115,4.59,21.705,12.524999999999999
1757-07-01,17.61,4.322,21.932,13.288
1757-08-01,17.91,4.035,21.945,13.875
1757-09-01,14.852,3.1889999999999996,18.041,11.663
1757-10-01,6.4819999999999975,3.173,9.654999999999998,3.3089999999999975
1757-11-01,4.032,2.6430000000000002,6.675000000000001,1.3889999999999998
1757-12-01,1.0210000000000004,5.155,6.176,-4.134
1758-01-01,-1.5029999999999997,7.349,5.846,-8.852
1758-02-01,0.8059999999999999,3.753,4.559,-2.947
1758-03-01,3.765,3.3680000000000003,7.133000000000001,0.3969999999999998
1758-04-01,7.209999999999999,2.986,10.196,4.223999999999998
1758-05-01,9.715,3.091,12.806000000000001,6.624
1758-06-01,13.139,2.055,15.193999999999999,11.084
1758-07-01,13.847,3.608,17.455,10.238999999999999
1758-08-01,11.818,2.9789999999999996,14.796999999999999,8.839
1758-09-01,10.027999999999999,2.347,12.374999999999998,7.680999999999999
1758-10-01,1.8939999999999992,2.332,4.225999999999999,-0.4380000000000006
1758-11-01,6.955,3.2430000000000003,10.198,3.7119999999999997
1758-12-01,3.2489999999999997,3.2439999999999998,6.492999999999999,0.004999999999999893
1759-01-01,5.0139999999999985,3.673,8.686999999999998,1.3409999999999984
1759-02-01,4.082,5.966,10.048,-1.8840000000000003
1759-03-01,4.52,3.958,8.478,0.5619999999999994
1759-04-01,5.983,3.159,9.142,2.824
1759-05-01,10.189,2.503,12.692,7.686
1759-06-01,13.512,2.2319999999999998,15.744,11.280000000000001
1759-07-01,12.526,2.65,15.176,9.876
1759-08-01,14.587,5.626,20.213,8.960999999999999
1759-09-01,12.626,3.235,15.860999999999999,9.391
1759-10-01,8.267000000000001,2.983,11.250000000000002,5.284000000000001
1759-11-01,4.268000000000002,3.167,7.435000000000001,1.1010000000000018
1759-12-01,0.2469999999999999,4.995,5.242,-4.748
1760-01-01,-0.8109999999999999,4.567,3.7560000000000002,-5.378
1760-02-01,2.436,3.535,5.971,-1.0990000000000002
1760-03-01,1.864,4.666,6.53,-2.8020000000000005
1760-04-01,7.435999999999999,2.6689999999999996,10.104999999999999,4.7669999999999995
1760-05-01,10.661,1.857,12.517999999999999,8.804
1760-06-01,11.945,2.14,14.085,9.805
1760-07-01,12.887,2.5669999999999997,15.454,10.32
1760-08-01,13.917,2.7889999999999997,16.706,11.128
1760-09-01,11.197,3.865,15.062,7.331999999999999
1760-10-01,6.7010000000000005,3.4219999999999997,10.123000000000001,3.279000000000001
1760-11-01,5.436,2.3480000000000003,7.784000000000001,3.0879999999999996
1760-12-01,2.553,2.642,5.195,-0.08899999999999997
1761-01-01,0.6000000000000001,4.779,5.379,-4.179
1761-02-01,2.735,3.775,6.51,-1.04
1761-03-01,5.976,3.225,9.201,2.751
1761-04-01,7.3210000000000015,1.652,8.973,5.669000000000001
1761-05-01,13.450999999999999,1.709,15.159999999999998,11.741999999999999
1761-06-01,16.820999999999998,3.1660000000000004,19.987,13.654999999999998
1761-07-01,19.021,2.696,21.717000000000002,16.325
1761-08-01,15.331,2.013,17.344,13.318
1761-09-01,12.534999999999998,4.075,16.61,8.459999999999997
1761-10-01,7.2269999999999985,3.932,11.158999999999999,3.2949999999999986
1761-11-01,5.089,2.248,7.337000000000001,2.841
1761-12-01,-0.8370000000000002,4.468,3.631,-5.305
1762-01-01,6.8660000000000005,3.7760000000000002,10.642000000000001,3.0900000000000003
1762-02-01,4.801,7.88,12.681000000000001,-3.0789999999999997
1762-03-01,3.5280000000000005,4.138999999999999,7.667,-0.6109999999999989
1762-04-01,9.019,2.199,11.218,6.82
1762-05-01,10.880999999999998,3.0439999999999996,13.924999999999997,7.836999999999999
1762-06-01,13.499,3.3110000000000004,16.810000000000002,10.188
1762-07-01,14.72,1.966,16.686,12.754000000000001
1762-08-01,13.992,3.3289999999999997,17.321,10.663
1762-09-01,10.325999999999999,3.2260000000000004,13.552,7.099999999999998
1762-10-01,6.1560000000000015,2.8789999999999996,9.035,3.277000000000002
1762-11-01,6.367000000000001,3.3539999999999996,9.721,3.0130000000000012
1762-12-01,3.123,3.188,6.311,-0.06499999999999995
1763-01-01,1.3690000000000002,6.415,7.784000000000001,-5.045999999999999
1763-02-01,0.7709999999999999,4.102,4.873,-3.3310000000000004
1763-03-01,1.5760000000000003,4.635,6.211,-3.0589999999999993
1763-04-01,7.870999999999999,2.275,10.145999999999999,5.595999999999998
1763-05-01,10.700999999999999,2.736,13.437,7.964999999999998
1763-06-01,12.270999999999999,2.224,14.495,10.046999999999999
1763-07-01,16.391,1.754,18.145,14.636999999999999
1763-08-01,14.126,2.157,16.283,11.969
1763-09-01,11.378,2.827,14.205,8.551
1763-10-01,5.535,2.9610000000000003,8.496,2.574
1763-11-01,4.588,2.08,6.668,2.508
1763-12-01,3.384,3.653,7.037,-0.26900000000000013
1764-01-01,1.741,3.628,5.369,-1.887
1764-02-01,6.162000000000001,2.8680000000000003,9.030000000000001,3.2940000000000005
1764-03-01,5.521,2.488,8.009,3.033
1764-04-01,7.879999999999999,3.159,11.038999999999998,4.720999999999999
1764-05-01,11.175,4.55,15.725000000000001,6.625000000000001
1764-06-01,11.722999999999999,1.7069999999999999,13.43,10.015999999999998
1764-07-01,12.507,3.2560000000000002,15.763,9.251
1764-08-01,12.282,1.2590000000000001,13.541,11.023
1764-09-01,10.696,2.2359999999999998,12.931999999999999,8.46
1764-10-01,10.011,2.515,12.526,7.495999999999999
1764-11-01,5.791,2.8280000000000003,8.619,2.963
1764-12-01,5.315,2.8089999999999997,8.124,2.5060000000000007
1765-01-01,3.78,4.928,8.708,-1.1480000000000001
1765-02-01,3.832,3.156,6.9879999999999995,0.6759999999999997
1765-03-01,6.859,2.4419999999999997,9.301,4.417
1765-04-01,9.013,1.4480000000000002,10.461,7.5649999999999995
1765-05-01,10.734000000000002,1.9280000000000002,12.662000000000003,8.806000000000001
1765-06-01,10.832999999999998,1.453,12.285999999999998,9.379999999999999
1765-07-01,13.953,2.375,16.328,11.578
1765-08-01,13.12,1.8719999999999999,14.991999999999999,11.248
1765-09-01,10.993,1.705,12.698,9.288
1765-10-01,7.904,1.5330000000000001,9.437,6.3709999999999996
1765-11-01,5.603,3.737,9.34,1.8659999999999997
1765-12-01,2.399,2.556,4.955,-0.15700000000000003
1766-01-01,-0.7930000000000001,4.766,3.973,-5.559
1766-02-01,4.896,3.741,8.637,1.1549999999999998
1766-03-01,6.062,2.802,8.864,3.2600000000000002
1766-04-01,8.007,2.084,10.091,5.923
1766-05-01,11.228,1.555,12.783,9.673
1766-06-01,13.652999999999999,3.745,17.398,9.907999999999998
1766-07-01,13.555,2.3409999999999997,15.895999999999999,11.214
1766-08-01,13.758,2.5980000000000003,16.355999999999998,11.159999999999998
1766-09-01,12.25,2.855,15.105,9.395
1766-10-01,8.465,1.4909999999999999,9.956,6.974
1766-11-01,7.4540000000000015,3.7739999999999996,11.228000000000002,3.680000000000002
1766-12-01,2.333,2.278,4.611000000000001,0.05500000000000016
1767-01-01,-0.6430000000000002,5.6560000000000015,5.013000000000002,-6.299000000000001
1767-02-01,3.932,4.973,8.905,-1.041
1767-03-01,7.022,4.418,11.440000000000001,2.604
1767-04-01,6.278,3.557,9.834999999999999,2.7209999999999996
1767-05-01,10.193,1.501,11.693999999999999,8.692
1767-06-01,14.112,1.426,15.538,12.686
1767-07-01,13.361,2.559,15.920000000000002,10.802
1767-08-01,14.597,1.466,16.063,13.131
1767-09-01,11.675,2.313,13.988000000000001,9.362
1767-10-01,9.027,1.611,10.638,7.4159999999999995
1767-11-01,7.915,3.775,11.69,4.140000000000001
1767-12-01,1.189,2.2969999999999997,3.4859999999999998,-1.1079999999999997
1768-01-01,-2.08,3.0269999999999997,0.9469999999999996,-5.106999999999999
1768-02-01,0.5060000000000002,3.04,3.5460000000000003,-2.534
1768-03-01,2.446,2.157,4.603,0.28900000000000015
1768-04-01,6.92,1.84,8.76,5.08
1768-05-01,9.066,2.4330000000000003,11.499,6.633000000000001
1768-06-01,12.489999999999998,1.729,14.218999999999998,10.761
1768-07-01,13.875,2.552,16.427,11.323
1768-08-01,12.352,2.046,14.398,10.306000000000001
1768-09-01,10.824000000000002,1.504,12.328000000000001,9.320000000000002
1768-10-01,7.728999999999999,2.5580000000000003,10.286999999999999,5.170999999999999
1768-11-01,4.581,2.02,6.601000000000001,2.5610000000000004
1768-12-01,2.667,2.286,4.952999999999999,0.3809999999999998
1769-01-01,2.305,3.76,6.0649999999999995,-1.4549999999999996
1769-02-01,2.164,2.5269999999999997,4.691,-0.36299999999999955
1769-03-01,4.57,2.225,6.795,2.345
1769-04-01,8.966999999999997,3.105,12.071999999999997,5.8619999999999965
1769-05-01,12.873,1.7530000000000001,14.626,11.12
1769-06-01,15.142,1.7269999999999999,16.869,13.415
1769-07-01,14.461,3.6689999999999996,18.13,10.792000000000002
1769-08-01,13.494000000000002,1.604,15.098000000000003,11.89
1769-09-01,11.25,1.598,12.848,9.652
1769-10-01,5.296999999999999,2.395,7.691999999999998,2.901999999999999
1769-11-01,2.79,2.267,5.057,0.5230000000000001
1769-12-01,-0.9780000000000002,2.291,1.3129999999999997,-3.269
1770-01-01,1.974,4.275,6.2490000000000006,-2.301
1770-02-01,4.105,4.129,8.234,-0.023999999999999133
1770-03-01,1.612,2.276,3.888,-0.6639999999999997
1770-04-01,9.788,3.516,13.304,6.272
1770-05-01,9.996,1.27,11.266,8.726
1770-06-01,11.884,3.395,15.279,8.489
1770-07-01,11.621,2.658,14.279,8.963000000000001
1770-08-01,11.413,3.14,14.553,8.273
1770-09-01,10.724,1.51,12.234,9.214
1770-10-01,8.661,1.6030000000000002,10.264,7.058
1770-11-01,5.791,2.7260000000000004,8.517000000000001,3.065
1770-12-01,4.734,2.87,7.604,1.8639999999999999
1771-01-01,5.101,4.287,9.388,0.8140000000000001
1771-02-01,-0.274,3.218,2.944,-3.492
1771-03-01,2.814,3.237,6.051,-0.42300000000000004
1771-04-01,5.716999999999999,2.647,8.363999999999999,3.069999999999999
1771-05-01,9.626,3.088,12.713999999999999,6.537999999999999
1771-06-01,14.104,1.403,15.507,12.700999999999999
1771-07-01,13.828,1.435,15.263,12.392999999999999
1771-08-01,14.204,2.246,16.45,11.958
1771-09-01,11.363,1.515,12.878,9.847999999999999
1771-10-01,10.317,1.7209999999999999,12.038,8.596
1771-11-01,4.916,2.952,7.868,1.9640000000000004
1771-12-01,2.522,3.5060000000000002,6.0280000000000005,-0.9840000000000004
1772-01-01,1.253,4.624,5.877,-3.3709999999999996
1772-02-01,1.4780000000000002,5.962999999999999,7.440999999999999,-4.484999999999999
1772-03-01,3.057,2.206,5.263,0.851
1772-04-01,8.857999999999997,1.524,10.381999999999998,7.333999999999997
1772-05-01,9.531,1.844,11.375,7.687
1772-06-01,12.646999999999998,2.4290000000000003,15.075999999999999,10.217999999999998
1772-07-01,14.581,1.409,15.99,13.171999999999999
1772-08-01,14.098,1.641,15.739,12.457
1772-09-01,10.302999999999999,1.334,11.636999999999999,8.969
1772-10-01,9.267999999999999,1.386,10.653999999999998,7.881999999999999
1772-11-01,7.7360000000000015,2.582,10.318000000000001,5.154000000000002
1772-12-01,5.5120000000000005,2.6239999999999997,8.136,2.888000000000001
1773-01-01,-0.43699999999999983,2.9330000000000003,2.4960000000000004,-3.37
1773-02-01,1.4209999999999998,3.0210000000000004,4.442,-1.6000000000000005
1773-03-01,4.4220000000000015,2.083,6.505000000000002,2.3390000000000013
1773-04-01,9.415,2.095,11.51,7.3199999999999985
1773-05-01,12.764,2.537,15.300999999999998,10.227
1773-06-01,12.811,1.2590000000000001,14.07,11.552
1773-07-01,14.484000000000002,1.085,15.569000000000003,13.399000000000001
