datetime,datenum,year,month,day,data_mean_global,data_mean_nh,data_mean_sh
1681-11-15,614293,1681,11,15,276.138432449915,275.849002700755,276.427862199076
1681-12-15,614323,1681,12,15,276.775367570733,277.091549459569,276.459185681897
1682-01-15,614354,1682,1,15,277.235483917216,277.914703860545,276.556263973887
1682-02-15,614385,1682,2,15,277.618234797514,278.5705750316,276.665894563427
1682-03-15,614413,1682,3,15,277.95999317417403,279.212936828736,276.707049519613
1682-04-15,614444,1682,4,15,278.200591433795,279.747585098355,276.653597769236
1682-05-15,614474,1682,5,15,278.145071011139,279.652120837816,276.638021184463
1682-06-15,614505,1682,6,15,277.413693022298,278.139095596935,276.688290447661
1682-07-15,614535,1682,7,15,275.77539008183203,274.859297688222,276.691482475442
1682-08-15,614566,1682,8,15,274.174231377511,271.800179183829,276.548283571193
1682-09-15,614597,1682,9,15,274.135806425442,271.899369168272,276.372243682612
1682-10-15,614627,1682,10,15,275.173759717624,274.009639524561,276.337879910687
1682-11-15,614658,1682,11,15,276.17904492437,275.88961517521,276.468474673531
1682-12-15,614688,1682,12,15,276.816700117089,277.132882005925,276.500518228253
1683-01-15,614719,1683,1,15,277.277237153645,277.95645709697396,276.598017210316
1683-02-15,614750,1683,2,15,277.660134174157,278.612474408243,276.70779394007
1683-03-15,614778,1683,3,15,278.001788973143,279.254732627705,276.748845318582
1683-04-15,614809,1683,4,15,278.242058769172,279.78905243373197,276.695065104612
1683-05-15,614839,1683,5,15,278.18600982897703,279.693059655654,276.678960002301
1683-06-15,614870,1683,6,15,277.45392810062,278.179330675257,276.728525525983
1683-07-15,614900,1683,7,15,275.814771030631,274.89867863702096,276.73086342424097
1683-08-15,614931,1683,8,15,274.212632638753,271.838580445071,276.586684832435
1683-09-15,614962,1683,9,15,274.173127273059,271.93669001588904,276.409564530229
1683-10-15,614992,1683,10,15,275.209923827607,274.045803634544,276.37404402067
1683-11-15,615023,1683,11,15,276.213994738581,275.924564989421,276.503424487742
1683-12-15,615053,1683,12,15,276.850393491661,277.166575380497,276.534211602825
1684-01-15,615084,1684,1,15,277.309647388002,277.988867331331,276.630427444673
1684-02-15,615115,1684,2,15,277.69125001101503,278.643590245101,276.738909776928
1684-03-15,615144,1684,3,15,278.03161459851003,279.284558253072,276.778670943949
1684-04-15,615175,1684,4,15,278.270613812345,279.817607476905,276.72362014778497
1684-05-15,615205,1684,5,15,278.213329362547,279.720379189224,276.70627953587103
1684-06-15,615236,1684,6,15,277.480062640467,278.20546521510397,276.75466006582997
1684-07-15,615266,1684,7,15,275.83978653592703,274.923694142317,276.755878929537
1684-08-15,615297,1684,8,15,274.236610511961,271.862558318279,276.610662705643
1684-09-15,615328,1684,9,15,274.196164359936,271.959727102766,276.432601617106
1684-10-15,615358,1684,10,15,275.232132139834,274.06801194677104,276.396252332897
1684-11-15,615389,1684,11,15,276.235492762953,275.946063013793,276.524922512114
1684-12-15,615419,1684,12,15,276.871295876497,277.187477765332,276.555113987661
1685-01-15,615450,1685,1,15,277.330064334436,278.009284277765,276.650844391107
1685-02-15,615481,1685,2,15,277.711287272999,278.663627507085,276.758947038912
1685-03-15,615509,1685,3,15,278.051373482811,279.304317137373,276.79842982825
1685-04-15,615540,1685,4,15,278.290191178548,279.837184843108,276.743197513988
1685-05-15,615570,1685,5,15,278.232817623051,279.739867449728,276.725767796375
1685-06-15,615601,1685,6,15,277.49954976048997,278.224952335127,276.774147185853
1685-07-15,615631,1685,7,15,275.859356033503,274.943263639893,276.775448427113
1685-08-15,615662,1685,8,15,274.256341457938,271.882289264256,276.63039365162
1685-09-15,615693,1685,9,15,274.216131377981,271.979694120811,276.452568635151
1685-10-15,615723,1685,10,15,275.252405380396,274.088285187333,276.416525573459
1685-11-15,615754,1685,11,15,276.256133619141,275.966703869981,276.545563368302
1685-12-15,615784,1685,12,15,276.892348478693,277.20853036752897,276.576166589857
1686-01-15,615815,1686,1,15,277.351554571824,278.030774515153,276.672334628495
1686-02-15,615846,1686,2,15,277.73322279356,278.68556302764597,276.780882559473
1686-03-15,615874,1686,3,15,278.073743693326,279.32668734788797,276.820800038765
1686-04-15,615905,1686,4,15,278.312967244598,279.85996090915796,276.765973580038
1686-05-15,615935,1686,5,15,278.255952469016,279.763002295693,276.74890264234
1686-06-15,615966,1686,6,15,277.52297806955,278.248380644187,276.79757549491296
1686-07-15,615996,1686,7,15,275.882994247636,274.966901854026,276.799086641246
1686-08-15,616027,1686,8,15,274.280087777925,271.906035584243,276.65413997160704
1686-09-15,616058,1686,9,15,274.23986576339803,272.003428506228,276.476303020568
1686-10-15,616088,1686,10,15,275.27598963442404,274.111869441361,276.440109827487
1686-11-15,616119,1686,11,15,276.279423669304,275.989993920144,276.568853418465
1686-12-15,616149,1686,12,15,276.915220065424,277.23140195426004,276.599038176588
1687-01-15,616180,1687,1,15,277.373906525722,278.053126469051,276.694686582393
1687-02-15,616211,1687,2,15,277.754977035393,278.70731726948,276.802636801307
1687-03-15,616239,1687,3,15,278.094845234033,279.347788888595,276.841901579472
