,datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
11379,346356,948,4,15,15-Apr-0948 00:00:00,280.275719657972,281.822713322532,278.728725993412
11380,346386,948,5,15,15-May-0948 00:00:00,280.216558282501,281.72360810917803,278.709508455825
11381,346417,948,6,15,15-Jun-0948 00:00:00,279.481490051217,280.206892625854,278.75608747658
11382,346447,948,7,15,15-Jul-0948 00:00:00,277.839487311487,276.92339491787703,278.75557970509703
11383,346478,948,8,15,15-Aug-0948 00:00:00,276.234658952424,273.860606758742,278.608711146106
11384,346509,948,9,15,15-Sep-0948 00:00:00,276.19263416947604,273.956196912306,278.429071426646
11385,346539,948,10,15,15-Oct-0948 00:00:00,277.227096461895,276.062976268832,278.391216654958
11386,346570,948,11,15,15-Nov-0948 00:00:00,278.229025917132,277.939596167972,278.518455666293
11387,346600,948,12,15,15-Dec-0948 00:00:00,278.863475842198,279.179657731034,278.547293953362
11388,346631,949,1,15,15-Jan-0949 00:00:00,279.32097294187696,280.000192885206,278.641752998548
11389,346662,949,2,15,15-Feb-0949 00:00:00,279.701010203206,280.653350437292,278.748669969119
11390,346690,949,3,15,15-Mar-0949 00:00:00,280.040000267626,281.292943922188,278.787056613065
11391,346721,949,4,15,15-Apr-0949 00:00:00,280.277815200626,281.824808865186,278.730821536067
11392,346751,949,5,15,15-May-0949 00:00:00,280.219536115859,281.726585942536,278.712486289183
11393,346782,949,6,15,15-Jun-0949 00:00:00,279.485463808307,280.210866382944,278.76006123367
11394,346812,949,7,15,15-Jul-0949 00:00:00,277.84456944122996,276.92847704762,278.76066183484
11395,346843,949,8,15,15-Aug-0949 00:00:00,276.240939565264,273.866887371582,278.614991758946
11396,346874,949,9,15,15-Sep-0949 00:00:00,276.200162243799,273.963724986629,278.436599500969
11397,346904,949,10,15,15-Oct-0949 00:00:00,277.235879190437,276.071758997374,278.39999938349996
11398,346935,949,11,15,15-Nov-0949 00:00:00,278.239028706982,277.949598957822,278.52845845614297
11399,346965,949,12,15,15-Dec-0949 00:00:00,278.87462231479,279.19080420362496,278.558440425954
11400,346996,950,1,15,15-Jan-0950 00:00:00,279.333144932997,280.012364876326,278.653924989668
11401,347027,950,2,15,15-Feb-0950 00:00:00,279.714047762993,280.666387997079,278.76170752890596
11402,347055,950,3,15,15-Mar-0950 00:00:00,280.053701660566,281.306645315128,278.80075800600497
11403,347086,950,4,15,15-Apr-0950 00:00:00,280.291936905555,281.838930570115,278.744943240996
11404,347116,950,5,15,15-May-0950 00:00:00,280.233792825963,281.74084265264,278.726742999287
11405,347147,950,6,15,15-Jun-0950 00:00:00,279.499528431124,280.224931005761,278.774125856487
11406,347177,950,7,15,15-Jul-0950 00:00:00,277.85807531404,276.94198292043,278.77416770765
11407,347208,950,8,15,15-Aug-0950 00:00:00,276.253532860019,273.87948066633703,278.62758505370095
11408,347239,950,9,15,15-Sep-0950 00:00:00,276.211555934569,273.975118677399,278.447993191739
11409,347269,950,10,15,15-Oct-0950 00:00:00,277.24585558268296,276.08173538962,278.409975775746
